Switzerland,50,30,35,35,20,25,30
Norway,50,30,35,35,20,25,30
Luxembourg,50,30,35,35,20,25,30
Qatar,50,30,35,35,20,25,30
Iceland,50,30,35,35,20,25,30
United States,50,30,35,35,20,25,30
Ireland,50,30,35,35,20,25,30
Denmark,50,30,35,35,20,25,30
Singapore,50,30,35,35,20,25,30
Sweden,50,30,35,35,20,25,30
Australia,50,30,35,35,20,25,30
Hong Kong (China),50,30,35,35,20,25,30
Netherlands,50,30,35,35,20,25,30
Austria,50,30,35,35,20,25,30
Finland,50,30,35,35,20,25,30
Germany,50,30,35,35,20,25,30
Canada,50,30,35,35,20,25,30
Belgium,50,30,35,35,20,25,30
United Kingdom,50,30,35,35,20,25,30
United Arab Emirates,35,25,30,30,15,20,25
New Zealand,35,25,30,30,15,20,25
Japan,35,25,30,30,15,20,25
France,35,25,30,30,15,20,25
Israel,35,25,30,30,15,20,25
Kuwait,35,25,30,30,15,20,25
Italy,35,25,30,30,15,20,25
Brunei,35,25,30,30,15,20,25
Bahamas,35,25,30,30,15,20,25
South Korea,35,25,30,30,15,20,25
Spain,35,25,30,30,15,20,25
Malta,35,25,30,30,15,20,25
Cyprus,35,25,30,30,15,20,25
Slovenia,35,25,30,30,15,20,25
Bahrain,35,25,30,30,15,20,25
Saudi Arabia,35,25,30,30,15,20,25
Portugal,35,25,30,30,15,20,25
Estonia,35,25,30,30,15,20,25
Czech Republic,35,25,30,30,15,20,25
Greece,35,25,30,30,15,20,25
Slovakia,35,25,30,30,15,20,25
Saint Kitts and Nevis,35,25,30,30,15,20,25
Barbados,35,25,30,30,15,20,25
Trinidad and Tobago,35,25,30,30,15,20,25
Uruguay,35,25,30,30,15,20,25
Lithuania,35,25,30,30,15,20,25
Latvia,35,25,30,30,15,20,25
Oman,35,25,30,30,15,20,25
Seychelles,35,25,30,30,15,20,25
Antigua and Barbuda,35,25,30,30,15,20,25
Chile,35,25,30,30,15,20,25
Panama,35,25,30,30,15,20,25
Argentina,35,25,30,30,15,20,25
Hungary,35,25,30,30,15,20,25
Poland,35,25,30,30,15,20,25
Palau,35,25,30,30,15,20,25
Croatia,35,25,30,30,15,20,25
Costa Rica,35,25,30,30,15,20,25
Turkey,35,25,30,30,15,20,25
World,35,25,30,30,15,20,25
Nauru,35,25,30,30,15,20,25
Mauritius,35,25,30,30,15,20,25
Romania,25,15,20,20,5,10,15
Malaysia,25,15,20,20,5,10,15
Grenada,25,15,20,20,5,10,15
Maldives,25,15,20,20,5,10,15
Russia,25,15,20,20,5,10,15
Saint Lucia,25,15,20,20,5,10,15
China,25,15,20,20,5,10,15
Mexico,25,15,20,20,5,10,15
Brazil,25,15,20,20,5,10,15
Lebanon,25,15,20,20,5,10,15
Kazakhstan,25,15,20,20,5,10,15
Bulgaria,25,15,20,20,5,10,15
Montenegro,25,15,20,20,5,10,15
Equatorial Guinea,25,15,20,20,5,10,15
Saint Vincent and the Grenadines,25,15,20,20,5,10,15
Dominica,25,15,20,20,5,10,15
Botswana,25,15,20,20,5,10,15
Turkmenistan,25,15,20,20,5,10,15
Dominican Republic,25,15,20,20,5,10,15
Gabon,25,15,20,20,5,10,15
Libya,25,15,20,20,5,10,15
Suriname,25,15,20,20,5,10,15
Peru,25,15,20,20,5,10,15
Thailand,25,15,20,20,5,10,15
Ecuador,25,15,20,20,5,10,15
Colombia,25,15,20,20,5,10,15
South Africa,25,15,20,20,5,10,15
Iran,25,15,20,20,5,10,15
Belarus,25,15,20,20,5,10,15
Serbia,25,15,20,20,5,10,15
Tuvalu,25,15,20,20,5,10,15
Fiji,25,15,20,20,5,10,15
Bosnia and Herzegovina,25,15,20,20,5,10,15
Macedonia,25,15,20,20,5,10,15
Marshall Islands,25,15,20,20,5,10,15
Iraq,25,15,20,20,5,10,15
Jamaica,25,15,20,20,5,10,15
Namibia,25,15,20,20,5,10,15
Guyana,25,15,20,20,5,10,15
Belize,25,15,20,20,5,10,15
Albania,25,15,20,20,5,10,15
Samoa,25,15,20,20,5,10,15
Azerbaijan,25,15,20,20,5,10,15
Guatemala,25,15,20,20,5,10,15
Tonga,25,15,20,20,5,10,15
Armenia,25,15,20,20,5,10,15
Jordan,5,2.5,5,5,2.5,2.5,5
Algeria,5,2.5,5,5,2.5,2.5,5
Paraguay,5,2.5,5,5,2.5,2.5,5
Kosovo,5,2.5,5,5,2.5,2.5,5
Sri Lanka,5,2.5,5,5,2.5,2.5,5
Georgia,5,2.5,5,5,2.5,2.5,5
Philippines,5,2.5,5,5,2.5,2.5,5
Micronesia,5,2.5,5,5,2.5,2.5,5
El Salvador,5,2.5,5,5,2.5,2.5,5
Indonesia,5,2.5,5,5,2.5,2.5,5
Tunisia,5,2.5,5,5,2.5,2.5,5
Angola,5,2.5,5,5,2.5,2.5,5
Mongolia,5,2.5,5,5,2.5,2.5,5
Palestine,5,2.5,5,5,2.5,2.5,5
Bolivia,5,2.5,5,5,2.5,2.5,5
Egypt,5,2.5,5,5,2.5,2.5,5
Cape Verde,5,2.5,5,5,2.5,2.5,5
Swaziland,5,2.5,5,5,2.5,2.5,5
Vanuatu,5,2.5,5,5,2.5,2.5,5
Morocco,5,2.5,5,5,2.5,2.5,5
Kiribati,5,2.5,5,5,2.5,2.5,5
Bhutan,5,2.5,5,5,2.5,2.5,5
Papua New Guinea,5,2.5,5,5,2.5,2.5,5
Ukraine,5,2.5,5,5,2.5,2.5,5
Sudan,5,2.5,5,5,2.5,2.5,5
Laos,5,2.5,5,5,2.5,2.5,5
Honduras,5,2.5,5,5,2.5,2.5,5
Moldova,5,2.5,5,5,2.5,2.5,5
Vietnam,5,2.5,5,5,2.5,2.5,5
Nicaragua,5,2.5,5,5,2.5,2.5,5
Nigeria,5,2.5,5,5,2.5,2.5,5
Uzbekistan,5,2.5,5,5,2.5,2.5,5
Solomon Islands,5,2.5,5,5,2.5,2.5,5
Djibouti,5,2.5,5,5,2.5,2.5,5
India,5,2.5,5,5,2.5,2.5,5
Timor-Leste,5,2.5,5,5,2.5,2.5,5
São Tomé and Príncipe,5,2.5,5,5,2.5,2.5,5
Pakistan,5,2.5,5,5,2.5,2.5,5
Côte d'Ivoire,5,2.5,5,5,2.5,2.5,5
Ghana,5,2.5,5,5,2.5,2.5,5
Bangladesh,5,2.5,5,5,2.5,2.5,5
Kenya,5,2.5,5,5,2.5,2.5,5
Republic of Congo,5,2.5,5,5,2.5,2.5,5
Cameroon,5,2.5,5,5,2.5,2.5,5
Zambia,5,2.5,5,5,2.5,2.5,5
Lesotho,5,2.5,5,5,2.5,2.5,5
Cambodia,5,2.5,5,5,2.5,2.5,5
Myanmar,5,2.5,5,5,2.5,2.5,5
Kyrgyzstan,5,2.5,5,5,2.5,2.5,5
Mauritania,5,2.5,5,5,2.5,2.5,5
Tajikistan,5,2.5,5,5,2.5,2.5,5
Senegal,5,2.5,5,5,2.5,2.5,5
Tanzania,5,2.5,5,5,2.5,2.5,5
Zimbabwe,5,2.5,5,5,2.5,2.5,5
Guinea,5,2.5,5,5,2.5,2.5,5
Benin,5,2.5,5,5,2.5,2.5,5
Nepal,5,2.5,5,5,2.5,2.5,5
Mali,5,2.5,5,5,2.5,2.5,5
Comoros,5,2.5,5,5,2.5,2.5,5
Haiti,5,2.5,5,5,2.5,2.5,5
Ethiopia,5,2.5,5,5,2.5,2.5,5
Rwanda,5,2.5,5,5,2.5,2.5,5
Guinea-Bissau,5,2.5,5,5,2.5,2.5,5
Chad,5,2.5,5,5,2.5,2.5,5
Togo,5,2.5,5,5,2.5,2.5,5
Burkina Faso,5,2.5,5,5,2.5,2.5,5
Uganda,5,2.5,5,5,2.5,2.5,5
Afghanistan,5,2.5,5,5,2.5,2.5,5
Sierra Leone,5,2.5,5,5,2.5,2.5,5
Democratic Republic of Congo,5,2.5,5,5,2.5,2.5,5
Gambia,5,2.5,5,5,2.5,2.5,5
Mozambique,5,2.5,5,5,2.5,2.5,5
Madagascar,5,2.5,5,5,2.5,2.5,5
Central African Republic,5,2.5,5,5,2.5,2.5,5
Liberia,5,2.5,5,5,2.5,2.5,5
Niger,5,2.5,5,5,2.5,2.5,5
Malawi,5,2.5,5,5,2.5,2.5,5
Burundi,5,2.5,5,5,2.5,2.5,5
